"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"12/31/2018","32.340","32.550","32.610","32.280","","-0.65%"
"12/28/2018","32.550","32.530","32.620","32.370","","0.03%"
"12/27/2018","32.540","32.580","32.620","32.500","","-0.14%"
"12/26/2018","32.585","32.635","32.655","32.535","","-0.05%"
"12/25/2018","32.600","32.490","32.610","32.440","","0.34%"
"12/24/2018","32.490","32.620","32.670","32.480","","-0.49%"
"12/21/2018","32.650","32.650","32.720","32.580","","-0.03%"
"12/20/2018","32.660","32.750","32.790","32.600","","-0.27%"
"12/19/2018","32.750","32.720","32.780","32.660","","0.12%"
"12/18/2018","32.710","32.800","32.810","32.700","","-0.24%"
"12/17/2018","32.790","32.830","32.890","32.760","","-0.12%"
"12/14/2018","32.830","32.770","32.850","32.710","","0.15%"
"12/13/2018","32.780","32.770","32.790","32.660","","0.06%"
"12/12/2018","32.760","32.850","32.850","32.720","","-0.21%"
"12/11/2018","32.830","32.890","32.930","32.770","","-0.20%"
"12/10/2018","32.895","32.835","32.935","32.765","","0.11%"
"12/07/2018","32.860","32.850","32.900","32.760","","0.00%"
"12/06/2018","32.860","32.740","32.930","32.710","","0.37%"
"12/05/2018","32.740","32.760","32.810","32.720","","-0.06%"
"12/04/2018","32.760","32.800","32.820","32.650","","-0.12%"
"12/03/2018","32.800","32.970","32.970","32.730","","-0.52%"
"11/30/2018","32.970","32.910","32.980","32.840","","0.18%"
"11/29/2018","32.910","32.900","32.990","32.870","","0.00%"
"11/28/2018","32.910","33.050","33.080","32.860","","-0.42%"
"11/27/2018","33.050","33.030","33.080","32.960","","0.03%"
"11/26/2018","33.040","33.080","33.110","32.980","","-0.12%"
"11/23/2018","33.080","32.970","33.130","32.940","","0.30%"
"11/22/2018","32.980","32.900","33.030","32.870","","0.27%"
"11/21/2018","32.890","32.970","33.040","32.850","","-0.30%"
"11/20/2018","32.990","32.940","33.030","32.890","","0.15%"
"11/19/2018","32.940","32.870","33.060","32.830","","0.29%"
"11/16/2018","32.845","32.955","33.075","32.785","","-0.32%"
"11/15/2018","32.950","32.960","33.060","32.850","","0.00%"
"11/14/2018","32.950","32.960","33.040","32.830","","0.03%"
"11/13/2018","32.940","33.170","33.170","32.900","","-0.69%"
"11/12/2018","33.170","33.060","33.190","33.040","","0.33%"
"11/09/2018","33.060","32.970","33.140","32.940","","0.27%"
"11/08/2018","32.970","32.820","33.010","32.780","","0.46%"
"11/07/2018","32.820","32.930","33.020","32.770","","-0.27%"
"11/06/2018","32.910","32.930","33.030","32.900","","-0.09%"
"11/05/2018","32.940","32.850","33.030","32.770","","0.27%"
"11/02/2018","32.850","32.890","32.990","32.770","","-0.15%"
"11/01/2018","32.900","33.110","33.140","32.860","","-0.66%"
"10/31/2018","33.120","33.270","33.330","33.060","","-0.42%"
"10/30/2018","33.260","33.280","33.340","33.190","","-0.06%"
"10/29/2018","33.280","32.990","33.310","32.990","","0.65%"
"10/26/2018","33.065","32.925","33.155","32.905","","0.41%"
"10/25/2018","32.930","32.930","32.970","32.870","","-0.02%"
"10/24/2018","32.935","32.855","32.995","32.755","","0.29%"
"10/23/2018","32.840","32.790","32.950","32.780","","0.12%"
"10/22/2018","32.800","32.550","32.850","32.530","","0.64%"
"10/19/2018","32.590","32.620","32.680","32.540","","-0.15%"
"10/18/2018","32.640","32.530","32.680","32.470","","0.46%"
"10/17/2018","32.490","32.500","32.580","32.410","","0.00%"
"10/16/2018","32.490","32.650","32.720","32.450","","-0.49%"
"10/15/2018","32.650","32.690","32.810","32.610","","-0.34%"
"10/12/2018","32.760","32.720","32.790","32.590","","0.15%"
"10/11/2018","32.710","33.000","33.050","32.620","","-0.88%"
"10/10/2018","33.000","32.950","33.040","32.830","","0.15%"
"10/09/2018","32.950","32.920","33.110","32.870","","0.12%"
"10/08/2018","32.910","32.780","33.040","32.760","","0.30%"
"10/05/2018","32.810","32.700","32.910","32.680","","0.21%"
"10/04/2018","32.740","32.510","32.780","32.460","","0.71%"
"10/03/2018","32.510","32.340","32.550","32.300","","0.53%"
"10/02/2018","32.340","32.270","32.420","32.260","","0.20%"
"10/01/2018","32.275","32.315","32.375","32.205","","-0.17%"
"09/28/2018","32.330","32.420","32.460","32.290","","-0.34%"
"09/27/2018","32.440","32.440","32.480","32.370","","0.06%"
"09/26/2018","32.420","32.400","32.500","32.370","","0.03%"
"09/25/2018","32.410","32.420","32.490","32.380","","-0.06%"
"09/24/2018","32.430","32.390","32.510","32.380","","0.00%"
"09/21/2018","32.430","32.350","32.500","32.320","","0.26%"
"09/20/2018","32.345","32.405","32.475","32.305","","-0.20%"
"09/19/2018","32.410","32.560","32.610","32.330","","-0.48%"
"09/18/2018","32.565","32.595","32.695","32.535","","-0.05%"
"09/17/2018","32.580","32.670","32.730","32.530","","-0.34%"
"09/14/2018","32.690","32.610","32.710","32.510","","0.21%"
"09/13/2018","32.620","32.710","32.740","32.530","","-0.31%"
"09/12/2018","32.720","32.780","32.860","32.690","","-0.17%"
"09/11/2018","32.775","32.825","32.875","32.745","","-0.11%"
"09/10/2018","32.810","32.790","32.910","32.780","","-0.09%"
"09/07/2018","32.840","32.800","32.860","32.760","","0.15%"
"09/06/2018","32.790","32.780","32.850","32.730","","0.03%"
"09/05/2018","32.780","32.810","32.880","32.740","","-0.03%"
"09/04/2018","32.790","32.680","32.850","32.660","","0.31%"
"09/03/2018","32.690","32.720","32.820","32.660","","-0.23%"
"08/31/2018","32.765","32.775","32.835","32.675","","-0.05%"
"08/30/2018","32.780","32.700","32.820","32.650","","0.28%"
"08/29/2018","32.690","32.580","32.760","32.560","","0.34%"
"08/28/2018","32.580","32.560","32.620","32.490","","0.09%"
"08/27/2018","32.550","32.590","32.680","32.500","","-0.21%"
"08/24/2018","32.620","32.900","32.920","32.580","","-0.82%"
"08/23/2018","32.890","32.690","32.920","32.660","","0.64%"
"08/22/2018","32.680","32.650","32.800","32.630","","0.06%"
"08/21/2018","32.660","32.930","32.960","32.630","","-0.85%"
"08/20/2018","32.940","33.170","33.230","32.900","","-0.69%"
"08/17/2018","33.170","33.170","33.290","33.140","","0.03%"
"08/16/2018","33.160","33.320","33.370","33.140","","-0.54%"
"08/15/2018","33.340","33.290","33.410","33.240","","0.15%"
"08/14/2018","33.290","33.360","33.410","33.220","","-0.22%"
"08/13/2018","33.365","33.275","33.445","33.275","","0.11%"
"08/10/2018","33.330","33.250","33.350","33.190","","0.27%"
"08/09/2018","33.240","33.230","33.250","33.130","","0.00%"
"08/08/2018","33.240","33.220","33.270","33.170","","0.08%"
"08/07/2018","33.215","33.365","33.385","33.185","","-0.40%"
"08/06/2018","33.350","33.240","33.400","33.190","","0.27%"
"08/03/2018","33.260","33.300","33.400","33.180","","-0.09%"
"08/02/2018","33.290","33.150","33.330","33.120","","0.39%"
"08/01/2018","33.160","33.200","33.260","33.090","","-0.12%"
"07/31/2018","33.200","33.300","33.400","33.140","","-0.24%"
"07/30/2018","33.280","33.320","33.420","33.230","","-0.33%"
"07/27/2018","33.390","33.400","33.500","33.300","","-0.12%"
"07/26/2018","33.430","33.240","33.440","33.130","","0.63%"
"07/25/2018","33.220","33.370","33.420","33.190","","-0.49%"
"07/24/2018","33.385","33.445","33.495","33.315","","-0.10%"
"07/23/2018","33.420","33.320","33.470","33.270","","0.27%"
"07/20/2018","33.330","33.480","33.530","33.300","","-0.42%"
"07/19/2018","33.470","33.300","33.510","33.280","","0.50%"
"07/18/2018","33.305","33.325","33.395","33.285","","-0.02%"
"07/17/2018","33.310","33.260","33.360","33.210","","0.14%"
"07/16/2018","33.265","33.295","33.355","33.245","","-0.14%"
"07/13/2018","33.310","33.200","33.390","33.160","","0.30%"
"07/12/2018","33.210","33.320","33.370","33.170","","-0.36%"
"07/11/2018","33.330","33.170","33.360","33.140","","0.45%"
"07/10/2018","33.180","33.070","33.220","33.040","","0.36%"
"07/09/2018","33.060","33.130","33.190","33.050","","-0.27%"
"07/06/2018","33.150","33.200","33.270","33.120","","-0.17%"
"07/05/2018","33.205","33.155","33.275","33.125","","0.14%"
"07/04/2018","33.160","33.150","33.200","33.060","","0.00%"
"07/03/2018","33.160","33.160","33.310","33.130","","-0.02%"
"07/02/2018","33.165","32.985","33.215","32.985","","0.41%"
"06/29/2018","33.030","33.150","33.240","32.990","","-0.36%"
"06/28/2018","33.150","33.050","33.190","33.000","","0.26%"
"06/27/2018","33.065","33.025","33.125","32.945","","0.11%"
"06/26/2018","33.030","32.940","33.060","32.910","","0.29%"
"06/25/2018","32.935","32.915","33.035","32.885","","0.02%"
"06/22/2018","32.930","32.900","32.980","32.840","","0.09%"
"06/21/2018","32.900","32.810","33.020","32.800","","0.24%"
"06/20/2018","32.820","32.750","32.870","32.660","","0.23%"
"06/19/2018","32.745","32.675","32.875","32.625","","0.26%"
"06/18/2018","32.660","32.620","32.770","32.600","","-0.03%"
"06/15/2018","32.670","32.210","32.710","32.150","","1.43%"
"06/14/2018","32.210","32.140","32.240","32.100","","0.28%"
"06/13/2018","32.120","32.090","32.210","32.070","","0.08%"
"06/12/2018","32.095","32.065","32.135","32.025","","0.14%"
"06/11/2018","32.050","32.010","32.110","31.930","","0.02%"
